연번,업종명,업소명,소     재     지,면적(㎡)
621,일반음식점,은숙이네 밥집, 청주시 서원구 1순환로673번길 37  1층 (사창동),
622,일반음식점,옥연만두, 청주시 서원구 창신로32번길 11  1층 (사창동),
623,일반음식점,나능이버섯백숙, 청주시 서원구 성봉로220번길 94  1층 (개신동),
624,일반음식점,낭만언니, 청주시 서원구 1순환로674번길 14  2층 (사창동),
625,일반음식점,춘천본가닭갈비, 청주시 서원구 예체로1번길 34  A동 1층 (개신동),
626,일반음식점,벤츠타기, 청주시 서원구 내수동로108번길 28  2층 (사창동),
627,일반음식점,밥오야, 청주시 서원구 충대로14번길 57  1층 (사창동),
628,일반음식점,보글보글촌, 청주시 서원구 신율로 70-1  1층 (개신동),
629,일반음식점,파라다이스, 청주시 서원구 예체로67번길 79  2층 (사창동),
630,일반음식점,라온, 청주시 서원구 내수동로114번길 18 (사창동  (지하1층)),
631,일반음식점,마초불고기, 청주시 서원구 1순환로672번길 52  1층 (사창동),
632,일반음식점,대도영지한우, 청주시 서원구 천석로14번길 7  1층 (사창동),
633,일반음식점,민들레보리밥, 청주시 서원구 성봉로220번길 16  1층 (개신동),
634,일반음식점,본토막창, 청주시 서원구 사직대로 133  1층 (사창동),
635,일반음식점,먹벙감자탕병천순대, 청주시 서원구 장구봉로 146  1층 (개신동),
636,일반음식점,온천골가마솥, 청주시 서원구 1순환로 784  1동 1층 (개신동),
637,일반음식점,새마을 식당, 청주시 서원구 1순환로674번길 38 (사창동 (1층)),
638,일반음식점,두맛 찜닭, 청주시 서원구 성봉로 234-1  1층 (개신동),
639,일반음식점,초정한우개신점, 청주시 서원구 모충로44번길 5  1층 (개신동),
640,일반음식점,브라보식당, 청주시 서원구 예체로129번길 30-1  1층 (사창동),
641,일반음식점,조마루감자탕사창점, 청주시 서원구 내수동로 123-1  B동 1층 (사창동),
642,일반음식점,식끌버끌, 청주시 서원구 내수동로114번길 59 (사창동),
643,일반음식점,샤브도둑5 000 얼큰샤브샤브, 청주시 서원구 내수동로108번길 51  1층 (사창동),
644,일반음식점,레드락, 청주시 서원구 사직대로 140  3층 301호 (사창동  현대코아),
645,일반음식점,어울림밥상, 청주시 서원구 예체로1번길 25  2층 (개신동),
646,일반음식점,(주)수레로충대점, 청주시 서원구 1순환로672번길 22  2층 201호 (사창동),
647,일반음식점,홍스족발(홍's족발), 청주시 서원구 1순환로672번길 42  2층 (사창동),
648,일반음식점,개신풍천장어, 청주시 서원구 성봉로192번길 34-20  1층 (개신동),
649,일반음식점,농협목우촌또래오래, 청주시 서원구 창신로 22  1층 (사창동),
650,일반음식점,새빨간 죠스찜닭, 청주시 서원구 1순환로672번길 54 (사창동  (2층)),
651,일반음식점,상당해장국, 청주시 서원구 내수동로 134 (사창동 (1층)),
652,일반음식점,청주장터 순대국, 청주시 서원구 내수동로 130  1층 8호 (사창동  평화아파트),
653,일반음식점,쪼끼쪼끼개신1호점, 청주시 서원구 예체로19번길 4  2층 201호 (개신동  B동),
654,일반음식점,종가대박집, 청주시 서원구 1순환로674번길 16  1층 (사창동),
655,일반음식점,타지마할, 청주시 서원구 내수동로114번길 8 (사창동 (2층)),
656,일반음식점,러시아국수집, 청주시 서원구 사직대로124번길 7  2층 (사창동),
657,일반음식점,캠퍼스전골마당, 청주시 서원구 내수동로102번길 52-1  대승중문타운 1층 101호일부 102호 (사창동),
658,일반음식점,파브리카, 청주시 서원구 1순환로 682 (사창동  외1필지씨네타운SHOP#201~#204호 #205호일부 #206호일부2층),
659,일반음식점,치킨플러스(사창점), 청주시 서원구 사직대로 185  B동 1층 (사창동),
660,일반음식점,윤치리네, 청주시 서원구 1순환로674번길 52  2층 (사창동),
661,일반음식점,해운대횟집, 청주시 서원구 예체로1번길 38  금강빌딩   B동 1층 (개신동),
662,일반음식점,서해쭈꾸미, 청주시 서원구 모충로 48-1  가1동 1층 (개신동),
663,일반음식점,사창수산, 청주시 서원구 창신로 20  1층 (사창동),
664,일반음식점,호식이두마리치킨 사창점, 청주시 서원구 창직로 22 (사창동),
665,일반음식점,술술회포차, 청주시 서원구 봉명로 232  1층 (사창동  240-23),
666,일반음식점,명랑시대 충북대점, 청주시 서원구 1순환로672번길 64  1층 (사창동),
667,일반음식점,김대감왕족발&보쌈, 청주시 서원구 모충로25번길 12  1층 (개신동),
668,일반음식점,죽이야기 개신사창점, 청주시 서원구 1순환로 767  1층 (개신동),
669,일반음식점,갈비천왕, 청주시 서원구 성봉로220번길 58  1층 (개신동),
670,일반음식점,가마솥보리밥, 청주시 서원구 사직대로164번길 37  1층 (사창동),
671,일반음식점,꾸니굿(cunny good), 청주시 서원구 1순환로674번길 48  1층 (사창동),
672,일반음식점,갈비명가 연웅가(家), 청주시 서원구 성봉로220번길 154  1층 (개신동),
673,일반음식점,(주)에스하우스, 청주시 서원구 내수동로108번길 35  지하1층 (사창동),
674,일반음식점,해풍코다리냉면, 청주시 서원구 사직대로 179-1  1층 (사창동),
675,일반음식점,육진대한뉴스, 청주시 서원구 모충로 49  1층 (개신동),
676,일반음식점,몬스터피자, 청주시 서원구 1순환로672번길 35  1층 (사창동),
677,일반음식점,이제곧망할집, 청주시 서원구 1순환로674번길 62 (사창동  (지하 1층)),
678,일반음식점,육앤샤, 청주시 서원구 1순환로674번길 26  1층 (사창동),
679,일반음식점,굿럭(Good Luck), 청주시 서원구 내수동로108번길 27  2층 (사창동),
680,일반음식점,꼬막전문점 태, 청주시 서원구 내수동로108번길 18  1층 (사창동),
681,일반음식점,시그널피자, 청주시 서원구 신율로68번길 23  1층 (개신동),
682,일반음식점,청춘튀겨 충북대점, 청주시 서원구 1순환로672번길 34  4층 (사창동),
683,일반음식점,몬쉐프가떡닭, 청주시 서원구 1순환로674번길 66  1층 (사창동),
684,일반음식점,놀부네김치찜, 청주시 서원구 내수동로 170-1  1층 (사창동),
685,일반음식점,포차의정석, 청주시 서원구 1순환로704번길 73  2층 (사창동),
686,일반음식점,이우당, 청주시 서원구 1순환로674번길 56 (사창동 (1층)),
687,일반음식점,미스터리쿡(Mr.Lee Cook), 청주시 서원구 1순환로674번길 56  2층 (사창동),
688,일반음식점,파라다이스, 청주시 서원구 1순환로672번길 41  지하1층 (사창동),
689,일반음식점,좋은원두 일레븐 충북대점, 청주시 서원구 1순환로674번길 52  1층 (사창동),
690,일반음식점,어번브라운, 청주시 서원구 예체로 92-1  1층 2층 3층 4층 (사창동  어번브라운2),
691,일반음식점,양지순대, 청주시 서원구 내수동로 159 (사창동 (1층)),
692,일반음식점,썸(SSUM), 청주시 서원구 내수동로108번길 33 (사창동 (2층)),
