연번,업종명,업소명,소     재     지,면적(㎡)
112,일반음식점,불난술집, 청주시 서원구 1순환로672번길 46  1층 (사창동),
113,일반음식점,패치워크, 청주시 서원구 1순환로704번길 78  지하1층 (사창동),
114,일반음식점,코이요스시, 청주시 서원구 창직로 20  1층 (사창동),
115,일반음식점,대로, 청주시 서원구 예체로 117  1층 (사창동),
116,일반음식점,레드홀(RED HOLE), 청주시 서원구 1순환로672번길 25  3층 (사창동),
117,일반음식점,스위치(Switch), 청주시 서원구 모충로3번길 81  단지내상가동 1층 104호 (개신동  한진아파트),
118,일반음식점,정든식당, 청주시 서원구 내수동로 160  1층 (사창동),
119,일반음식점,3 POP e스포츠 PC카페, 청주시 서원구 내수동로102번길 52-1  지하1층 B101호 (사창동  대승중문타운),
120,일반음식점,호록(Ho-Rok), 청주시 서원구 1순환로672번길 46  2층 (사창동),
121,일반음식점,청춘어람 충북대점, 청주시 서원구 1순환로704번길 63  2층 (사창동),
122,일반음식점,씨멘트충북대점, 청주시 서원구 1순환로674번길 62  1층 (사창동),
123,일반음식점,김밥천국, 청주시 서원구 창직로 13-2 (사창동),
124,일반음식점,가배시광, 청주시 서원구 성봉로 186  2층 (개신동),
125,일반음식점,지지고충북대점, 청주시 서원구 1순환로672번길 36  1층 (사창동  405-1),
126,일반음식점,밥짓는마을, 청주시 서원구 장구봉로 142 (개신동 (1층)),
127,일반음식점,먹자골, 청주시 서원구 장구봉로 136 (개신동  (1층)),
128,일반음식점,무거바~뒷고기!, 청주시 서원구 신율로53번길 12 (개신동 (1층)),
129,일반음식점,지구촌닭갈비, 청주시 서원구 사직대로176번길 59  1층 (사창동),
130,일반음식점,풍년한우불고기, 청주시 서원구 사직대로175번길 37  1층 (사창동),
131,일반음식점,시장순대, 청주시 서원구 창신로31번길 4 (사창동 (1층)),
132,일반음식점,왕천파닭, 청주시 서원구 내수동로 107 (사창동 (1층)),
133,일반음식점,맥주창고, 청주시 서원구 1순환로704번길 75 (사창동 (지하1층)),
134,일반음식점,해피토스트 앤 김밥, 청주시 서원구 창신로 27-1 (사창동 (1층)),
135,일반음식점,장수아구찜, 청주시 서원구 사직대로176번길 33 (사창동 (1층)),
136,일반음식점,삼미파전, 청주시 서원구 내수동로102번길 46  1층 (사창동),
137,일반음식점,안, 청주시 서원구 내수동로108번길 27 (사창동 (4층)),
138,일반음식점,햇살촌, 청주시 서원구 내수동로 168 (사창동 (1층)),
139,일반음식점,실로암또또치킨, 청주시 서원구 천수로8번길 1 (사창동),
140,일반음식점,또또와식당 , 청주시 서원구 1순환로672번길 51 (사창동),
141,일반음식점,홍원, 청주시 서원구 내수동로 93 (사창동 (2층)),
142,일반음식점,우렁찬불고기, 청주시 서원구 창신로25번길 13  1층 (사창동),
143,일반음식점,김밥천하, 청주시 서원구 창신로 10 (사창동  (1층)),
144,일반음식점,또봉이통닭, 청주시 서원구 복대로17번길 11  1층 101호 (개신동),
145,일반음식점,주민상회, 청주시 서원구 신율로 49 (개신동 103호(1층)),
